Code,Name,Close,Location,Industry,List_date,Years,Profit,EPS1618,EPS1113,Book_Value,div,div2,PE1618,dir_rate,Growth,Growth2,liquidity_ratio,有形资产/债务,PB,Mkt_value
000980.SZ,众泰汽车,2.53,浙江,汽车,2000/6/16,1,1,0.42,0.106666667,8.6645,-,0,6.023809524,0,2.9375,293.75%,1.211199046,-4.984724559,0.291996076,5454435765
002317.SZ,众生药业,12.68,广东,医药生物,2009/12/11,1,1,0.53,0.79,4.7921,是,1,23.9245283,36.88099511,-0.329113924,-32.91%,2.252831415,-4.510793555,2.646021577,8022441599
000925.SZ,众合科技,7.62,浙江,机械设备,1999/6/11,1,0,-0.038666667,-0.086666667,4.2571,-,0,10000,0,-0.553846154,-55.38%,0.976896045,0.335855659,1.789950906,3473250187
002441.SZ,众 业 达,8.02,广东,电气设备,2010/7/6,0,1,0.34,0.81,6.8409,是,1,23.58823529,55.5429516,-0.580246914,-58.02%,2.813415792,-10.80894627,1.172360362,3694059331
002822.SZ,中装建设,9.43,广东,建筑装饰,2016/11/29,0,1,0.41,0.366666667,3.6208,是,1,23,10.77258977,0.118181818,11.82%,1.928653915,-9.939154123,2.604396818,5710456549
600568.SH,中珠医疗,1.83,湖北,房地产,2001/5/18,1,0,-0.1369,0.478233333,2.0344,-,0,10000,0,-1.286261936,-128.63%,5.903951934,-3.328277717,0.899528116,3367949761
000042.SZ,中洲控股,9.42,广东,房地产,1994/9/21,1,1,0.664466667,1.581966667,10.9409,是,1,14.17678339,14.88349068,-0.579974294,-58.00%,1.551115342,0.418108017,0.860989498,6781277618
600038.SH,中直股份,40.32,黑龙江,国防军工,2000/12/18,1,1,0.7944,0.3866,13.0926,是,1,50.75528701,30.03228401,1.054837041,105.48%,1.331357498,11.85382922,3.079602218,26821190578
600217.SH,中再资环,5.85,陕西,公用事业,1999/12/16,1,0,0.1662,-0.136933333,1.0206,-,0,35.19855596,0,-2.213729309,-221.37%,1.708705447,0.954507616,5.731922399,7068278290
600428.SH,中远海特,3.16,广东,交通运输,2002/4/18,1,1,0.058333333,0.04,4.4619,-,0,54.17142857,0,0.458333333,45.83%,0.826357522,1.440030806,0.708218472,7556210714
600026.SH,中远海能,5.58,上海,交通运输,2002/5/23,1,0,0.313666667,-0.1201,6.9919,是,1,17.78958555,76.70468171,-3.611712462,-361.17%,0.821935441,1.18679762,0.798066334,23184188951
601919.SH,中远海控,4.04,天津,交通运输,2007/6/26,1,0,-0.196666667,-0.646666667,2.2402,-,0,10000,0,-0.695876289,-69.59%,0.906884034,0.376180353,1.80341041,57987573244
002401.SZ,中远海科,10.89,上海,计算机,2010/5/6,1,1,0.24,0.284366667,2.8803,是,1,45.375,18.22573632,-0.156019224,-15.60%,1.598041586,-0.758114179,3.780856161,3226473600
601866.SH,中远海发,2.11,上海,交通运输,2007/12/12,1,0,0.091733333,-0.138866667,1.3729,是,1,23.00145349,27.44541133,-1.660585694,-166.06%,0.688963028,0.175737394,1.536892709,29020312500
