Code,Name,Close,Location,Industry,List_date,Years,Profit,EPS1618,EPS1113,Book_Value,div,div2,PE1618,dir_rate,Growth,Growth2,liquidity_ratio,有形资产/债务,PB,Mkt_value
000561.SZ,烽火电子,6.31,陕西,国防军工,1994/5/9,25.83835616,1,0.136666667,0.1,2.2716,-,0,46.17073171,0,0.366666667,36.67%,1.751655038,-4.745852046,2.777777778,3984922395
000563.SZ,陕国投Ａ,3.81,陕西,非银金融,1994/1/10,26.16438356,1,0.123966667,0.401466667,2.6274,是,1,30.7340683,24.8158542,-0.691215543,-69.12%,1.176061452,0,1.450102763,15776771127
000564.SZ,供销大集,1.99,陕西,商业贸易,1994/1/10,26.16438356,1,0.159266667,0.176866667,5.1878,-,0,12.49476769,0,-0.099509989,-9.95%,1.684494522,-7.27684141,0.383592274,13457535237
000565.SZ,渝三峡Ａ,4.61,重庆,化工,1994/4/8,25.92328767,1,0.27,-0.126666667,2.4882,是,1,17.07407407,12.46462226,-3.131578947,-313.16%,1.748144841,-12.52833448,1.852744956,2111594111
000566.SZ,海南海药,8.9,海南,医药生物,1994/5/25,25.79452055,1,0.096666667,0.2626,3.4494,-,0,92.06896552,0,-0.631886266,-63.19%,1.924470401,-69.51916516,2.580158868,7641801390
000567.SZ,海德股份,7.95,海南,非银金融,1994/5/25,25.79452055,1,0.276933333,-0.0213,9.3656,是,1,28.7072701,17.59453048,-14.00156495,-1400.16%,1.300023214,0.136619994,0.848851115,5141934187
000568.SZ,泸州老窖,74.8,四川,食品饮料,1994/5/9,25.83835616,1,1.851,2.56,11.5819,是,1,40.41058887,65.1347924,-0.276953125,-27.70%,3.267230118,-1.720407142,6.45835312,1.20E+11
000570.SZ,苏常柴Ａ,4.19,江苏,机械设备,1994/7/1,25.69315068,1,0.1,0.106666667,3.6398,是,1,41.9,22.62826061,-0.0625,-6.25%,1.648743628,-64.90198214,1.151162152,2436364575
000571.SZ,新大洲Ａ,2.35,海南,采掘,1994/5/25,25.79452055,0,-0.337366667,0.153933333,1.6299,-,0,10000,0,-3.191641403,-319.16%,0.806711667,2.057352114,1.441806246,1864206560
000572.SZ,海马汽车,2.31,海南,汽车,1994/8/8,25.5890411,0,-0.4867,0.161766667,2.9698,-,0,10000,0,-4.008654441,-400.87%,0.90712219,2.447154547,0.777830157,2927452838
000573.SZ,粤宏远Ａ,2.77,广东,房地产,1994/8/15,25.56986301,0,0.152366667,0.127233333,2.6106,是,1,18.17982936,74.81071133,0.197537333,19.75%,3.100984876,8.121503437,1.06105876,1881318752
000576.SZ,广东甘化,6.27,广东,农林牧渔,1994/9/7,25.50684932,0,-0.063333333,-0.123333333,2.5048,-,0,10000,0,-0.486486486,-48.65%,5.940423247,-7.379996211,2.503193868,3188601533
000581.SZ,威孚高科,19.62,江苏,汽车,1998/9/24,21.45753425,1,2.193333333,1.516666667,15.7727,是,1,8.945288754,50.53011544,0.446153846,44.62%,2.802622782,-7.630745922,1.243921459,18766480602
000582.SZ,北部湾港,8.1,广西,交通运输,1995/11/2,24.35342466,1,0.456666667,0.422333333,5.6322,是,1,17.73722628,28.78577807,0.081294396,8.13%,0.770529694,1.850960113,1.438159156,14400974484
000584.SZ,哈工智能,5.67,江苏,机械设备,1995/11/28,24.28219178,0,-0.108,0,2.7729,是,1,10000,10.19242732,-9999,-9999.00%,1.439293544,-4.718511103,2.044790652,3618613600
000585.SZ,*ST 东电,1.67,海南,电气设备,1995/12/13,24.24109589,0,-0.1813,-0.006666667,0.0099,-,0,10000,0,26.195,2619.50%,0.399285887,4.810057733,168.6868687,1598267100
000586.SZ,汇源通信,9.73,四川,通信,1995/12/20,24.22191781,0,0.003,0.07,1.2136,-,0,3243.333333,0,-0.957142857,-95.71%,1.690250719,-2.831282084,8.017468688,1905384000
000587.SZ,金洲慈航,1.73,黑龙江,轻工制造,1996/4/25,23.8739726,0,-0.003333333,0.52,3.0958,-,0,10000,0,-1.006410256,-100.64%,0.924912824,0.356393432,0.558821629,3759036314
