Code,Name,Close,Location,Industry,List_date,2018/12/31,2017/12/31,2016/12/31,2015/12/31,2014/12/31,2013/12/31,2012/12/31,2011/12/31,2010/12/31,2009/12/31,2008/12/31,2007/12/31,2006/12/31,Profit,平均EPS(2016-18),平均EPS(2011-13),净资产,div,PE1618,分红比率,Growth,流动比例,有形资产/债务,PB,Mkt_value,市值>500亿,PE<15,流动比例>2,Y6,市净率<1.5,上市超过6年,PB<1.5的沪深300,PE*PB<22.5,
000528.SZ,柳    工,6.4100,广西,机械设备,1993-11-18,0.5402 ,0.2870 ,0.0438 ,0.0189 ,0.1764 ,0.2979 ,0.2500 ,1.1700 ,2.3700 ,1.3500 ,0.6400 ,1.2000 ,0.0000 ,1,0.29,0.57,6.5883,是,22.08,27.9842,-49.30%,1.3240,2.2623,0.97,"9,373,307,237.60",0,0,0,1,1,1,1,1,
000529.SZ,广弘控股,6.5700,广东,传媒,1993-11-18,0.2900 ,0.2700 ,0.1800 ,0.1300 ,0.2600 ,0.1400 ,0.1100 ,0.1200 ,0.1000 ,0.1000 ,0.8500 ,0.0123 ,0.0000 ,1,0.25,0.12,2.5633,是,26.64,24.4463,100.00%,2.4629,-1.1196,2.56,"3,654,527,465.80",0,0,1,1,0,1,0,0,
000530.SZ,大冷股份,3.8600,辽宁,机械设备,1993-12-08,0.1300 ,0.2300 ,0.3100 ,0.3600 ,0.3300 ,0.4400 ,0.3300 ,0.2300 ,0.2900 ,0.2200 ,0.3600 ,0.3700 ,0.0000 ,1,0.22,0.33,3.9484,是,17.28,38.1533,-33.00%,1.2637,8.5604,0.98,"3,094,589,900.69",0,0,0,1,1,1,1,1,
000531.SZ,穗恒运Ａ,6.1500,广东,公用事业,1994-01-06,0.1196 ,0.2689 ,0.8371 ,0.6570 ,0.9421 ,1.0157 ,0.8568 ,0.2225 ,0.5076 ,0.9475 ,-0.2000,0.0400 ,0.0000 ,1,0.41,0.70,5.7217,是,15.05,175.5750,-41.50%,0.5700,1.2112,1.07,"4,425,635,017.20",0,0,0,1,1,1,1,1,
000532.SZ,华金资本,11.1300,广东,电子,1994-01-03,0.1586 ,0.1401 ,0.1185 ,0.1097 ,0.0916 ,0.1532 ,0.1200 ,0.0800 ,0.0700 ,0.1200 ,0.0000 ,0.1393 ,0.0000 ,1,0.14,0.12,2.2858,是,80.03,18.9160,18.12%,0.4671,0.4912,4.87,"3,960,698,826.60",0,0,0,1,0,1,0,0,
000533.SZ,万 家 乐,2.5900,广东,电气设备,1994-01-03,-1.4000,0.0600 ,0.3300 ,0.1800 ,0.1800 ,0.2600 ,0.1071 ,0.1000 ,0.1900 ,0.3400 ,0.1100 ,0.2242 ,0.0000 ,0,-0.34,0.16,0.8781,-,10000.00,0.0000,-316.23%,1.5788,1.2090,2.95,"1,872,111,360.00",0,0,0,1,0,1,0,0,
000534.SZ,万泽股份,9.5800,广东,房地产,1994-01-10,0.1200 ,0.1800 ,0.1500 ,0.0900 ,0.1000 ,0.3100 ,0.2700 ,0.0500 ,0.0500 ,0.0600 ,0.0754 ,0.5652 ,0.0000 ,1,0.15,0.21,3.1209,是,63.87,40.1602,-28.57%,2.2083,-2.3283,3.07,"4,386,723,056.32",0,0,1,1,0,1,0,0,
000536.SZ,华映科技,2.3300,福建,电子,1993-11-26,-1.7955,0.0741 ,0.3892 ,0.1950 ,0.3205 ,0.4436 ,0.3941 ,0.4950 ,0.5091 ,0.0563 ,0.0500 ,0.1600 ,0.0000 ,0,-0.44,0.44,2.6995,-,10000.00,0.0000,-199.96%,1.3024,-23.2514,0.86,"7,357,647,255.98",0,0,0,1,1,1,1,0,
000537.SZ,广宇发展,6.5500,天津,房地产,1993-12-10,1.3400 ,1.2900 ,0.6700 ,0.2800 ,0.5500 ,0.7000 ,0.5500 ,0.5500 ,0.2100 ,0.0000 ,-0.0760,0.0910 ,0.0000 ,1,1.10,0.60,5.7364,是,5.95,9.6759,83.33%,1.3540,0.5035,1.14,"12,702,391,310.40",0,1,0,1,1,1,1,1,
000538.SZ,云南白药,78.6900,云南,医药生物,1993-12-15,3.1800 ,3.0200 ,2.8000 ,2.6600 ,2.4100 ,3.3400 ,2.2800 ,1.7400 ,1.3300 ,1.1300 ,0.9600 ,0.7000 ,0.0000 ,1,3.00,2.45,18.9956,是,26.23,62.9898,22.28%,3.3363,117.2274,4.14,"112,283,751,564.30",1,0,1,1,0,1,0,0,
000539.SZ,粤电力Ａ,3.5900,广东,公用事业,1993-11-26,0.0900 ,0.1400 ,0.1800 ,0.6200 ,0.6900 ,0.7100 ,0.4300 ,0.1300 ,0.2800 ,0.4400 ,0.0100 ,0.2500 ,0.0000 ,1,0.14,0.42,4.6145,是,26.27,66.3946,-67.72%,0.6009,0.7755,0.78,"21,683,672,862.18",0,0,0,1,1,1,1,1,
000540.SZ,中天金融,3.6100,贵州,房地产,1994-02-02,0.2098 ,0.4452 ,0.6308 ,0.6064 ,1.2197 ,0.8441 ,0.3429 ,0.4106 ,0.6073 ,0.8066 ,0.5712 ,0.3136 ,0.0000 ,1,0.43,0.53,2.4312,是,8.42,23.8785,-19.52%,1.1138,0.1465,1.48,"21,506,131,864.53",0,1,0,1,1,1,1,1,
000541.SZ,佛山照明,4.7500,广东,电子,1993-11-23,0.2699 ,0.5819 ,0.8429 ,0.0420 ,0.2700 ,0.2600 ,0.4100 ,0.3000 ,0.2700 ,0.2168 ,0.3200 ,0.9100 ,0.0000 ,1,0.56,0.32,3.0866,是,8.41,57.8097,74.71%,4.3560,-8.0269,1.54,"6,856,796,154.60",0,1,1,1,0,1,0,1,
